ID,상임위,소관,세부사업,내역사업,지역성사업,예산,A,B,C
BG439,문화체육관광부,문화체육관광위원회,한국관광콘텐츠 활성화,강원도 지역관광 올림픽 연계 홍보,1,400,0,0,0
BG440,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,강남서 삼성1파출소 증축,1,350,0,0,0
BG441,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,대구강북서 무태파출소 증축,1,318,0,0,0
BG442,문화체육관광부,문화체육관광위원회,문화관광축제지원(보조),영호남 관광문화예술박람회,1,300,0,0,0
BG443,기획재정부,기획재정위원회,경찰청 기타시설 취득,경찰종합 민원콜센터 신축,1,210,0,0,0
BG444,과학기술정보통신부,과학기술정보방송통신위원회,ICT 진흥 및 혁신 기반조성(R&D),융합산업활성화 기반조성,0,200,0,0,0
BG445,보건복지부,보건복지위원회,모자보건사업,난임치료 지원제도 발전 방안 연구 용역,0,200,0,0,0
BG446,보건복지부,보건복지위원회,연기금 전문인력 양성 프로그램 연구용역,0,0,200,0,0,0
BG447,여성가족부,여성가족위원회,건강가정 및 다문화가족지원,국외 다문화가족지원 사업,0,200,0,0,0
BG448,기획재정부,기획재정위원회,경찰청 경찰서 청사시설 신축,옥천경찰서 신축,1,198,0,0,0
BG449,기획재정부,기획재정위원회,경찰청 청사점유 토지 취득,인천 강화서 교동파출소 토지매입,1,164,0,0,0
BG450,외교부,외교통일위원회,글로벌 협력 강화,동북아 평화번영연구소 운영,0,150,0,0,0
BG451,문화체육관광부,문화체육관광위원회,전통문화체험 지원,봉은사 전통문화센터 조성,1,90,0,0,0
BG452,보건복지부,보건복지위원회,치매관리체계 구축,치매관리체계 사업운영,0,50,0,0,0
BG453,문화체육관광부,문화체육관광위원회,체육문화예술사업의 지원,학교체육진흥 연구회 지원,0,10,0,0,0
